Epoch,Average_Loss,Learning_Rate
1,1.189972,0.0009997557473810372
2,0.620125,0.0009990232305719946
3,0.351544,0.0009978031724785247
4,0.252347,0.0009960967771506667
5,0.192698,0.0009939057285945933
6,0.160857,0.0009912321891107012
7,0.140012,0.0009880787971596802
8,0.127816,0.0009844486647586726
9,0.117809,0.000980345374410087
10,0.10994,0.0009757729755661012
11,0.106004,0.0009707359806323418
12,0.101578,0.0009652393605146846
13,0.095878,0.0009592885397135708
14,0.092584,0.0009528893909706799
15,0.089844,0.0009460482294732424
16,0.086698,0.0009387718066217127
17,0.083198,0.0009310673033669524
18,0.082025,0.0009229423231234977
19,0.079323,0.0009144048842659084
20,0.076438,0.0009054634122155993
21,0.073226,0.0008961267311259671
22,0.073902,0.000886404055174016
23,0.070964,0.0008763049794670778
24,0.068146,0.000865839470573599
25,0.067518,0.0008550178566873413
26,0.066228,0.0008438508174347012
27,0.063187,0.000832349373335208
28,0.061339,0.0008205248749256018
29,0.060875,0.0008083889915582238
30,0.060836,0.0007959536998847747
31,0.058589,0.0007832312720368051
32,0.057099,0.0007702342635146037
33,0.057669,0.0007569755007964342
34,0.056253,0.0007434680686803494
35,0.055774,0.0007297252973710761
36,0.055128,0.0007157607493247114
37,0.054619,0.0007015882058642168
38,0.054335,0.0006872216535789162
39,0.053115,0.0006726752705214198
40,0.051281,0.0006579634122155995
41,0.051347,0.000643100597489419
42,0.051768,0.0006281014941466035
43,0.05034,0.000612980904491289
44,0.050634,0.0005977537507199342
45,0.049506,0.0005824350601949147
46,0.048403,0.000567039950614331
47,0.048454,0.0005515836150926649
48,0.047566,0.0005360813071670105
49,0.047601,0.0005205483257436738
50,0.047676,0.0005050000000000002
51,0.047454,0.0004894516742563267
52,0.046416,0.0004739186928329901
53,0.046463,0.00045841638490733556
54,0.044598,0.0004429600493856696
55,0.045548,0.0004275649398050859
56,0.044421,0.0004122462492800665
57,0.043971,0.00039701909550871175
58,0.043616,0.000381898505853397
59,0.043655,0.00036689940251058173
60,0.043008,0.00035203658778440135
61,0.042359,0.00033732472947858096
62,0.043057,0.0003227783464210847
63,0.042012,0.0003084117941357837
64,0.042015,0.0002942392506752892
65,0.041848,0.0002802747026289245
66,0.041243,0.000266531931319651
67,0.042298,0.0002530244992035663
68,0.041643,0.00023976573648539667
69,0.041437,0.00022676872796319544
70,0.040758,0.00021404630011522598
71,0.04039,0.00020161100844177672
72,0.040666,0.0001894751250743987
73,0.041445,0.00017765062666479255
74,0.040383,0.0001661491825652992
75,0.040198,0.00015498214331265912
76,0.039885,0.00014416052942640148
77,0.03933,0.00013369502053292264
78,0.039435,0.00012359594482598446
79,0.038799,0.00011387326887403332
80,0.039004,0.00010453658778440112
81,0.038719,9.559511573409205e-05
82,0.038436,8.705767687650269e-05
83,0.038457,7.893269663304787e-05
84,0.038611,7.122819337828756e-05
85,0.038557,6.395177052675798e-05
86,0.038185,5.711060902932045e-05
87,0.037365,5.071146028642948e-05
88,0.037949,4.476063948531561e-05
89,0.037774,3.9264019367658426e-05
90,0.037812,3.4227024433899026e-05
91,0.038048,2.9654625589913258e-05
92,0.037166,2.5551335241327692e-05
93,0.037581,2.192120284032009e-05
94,0.037549,1.8767810889299096e-05
95,0.036192,1.609427140540687e-05
96,0.036917,1.3903222849333514e-05
97,0.037225,1.2196827521475406e-05
98,0.037577,1.097676942800558e-05
99,0.037755,1.024425261896286e-05
100,0.037051,1e-05
