Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
2,Joint,25,0.0506,0.0376,0.8594,0.8782,0.8389,0.8672,0.947
2,Joint,26,0.0408,0.0357,0.8647,0.8985,0.8278,0.8741,0.9465
2,Joint,27,0.0404,0.0349,0.8621,0.9695,0.7444,0.8802,0.9491
2,Joint,28,0.04,0.0352,0.8594,0.8985,0.8167,0.8698,0.9461
2,Joint,29,0.0409,0.0349,0.8541,0.8477,0.8611,0.8586,0.9472
2,Joint,30,0.0376,0.0347,0.8674,0.8985,0.8333,0.8762,0.9451
3,Warmup,1,0.0569,0.0629,0.7507,0.868,0.6222,0.7844,0.8312
3,Warmup,2,0.0427,0.0547,0.7825,0.9746,0.5722,0.824,0.8734
3,Warmup,3,0.0398,0.0508,0.7719,0.934,0.5944,0.8106,0.8851
3,Warmup,4,0.0417,0.0489,0.7692,0.9188,0.6056,0.8062,0.8895
3,Warmup,5,0.0426,0.0482,0.7825,0.8985,0.6556,0.8119,0.8839
3,Joint,1,0.0545,0.0477,0.7984,0.8832,0.7056,0.8208,0.8876
3,Joint,2,0.0496,0.0472,0.7825,0.8579,0.7,0.8048,0.8898
3,Joint,3,0.0541,0.0478,0.7931,0.8629,0.7167,0.8134,0.8903
3,Joint,4,0.0581,0.0487,0.7825,0.7563,0.8111,0.7842,0.8922
3,Joint,5,0.0545,0.0482,0.7931,0.8629,0.7167,0.8134,0.8934
3,Joint,6,0.0559,0.0492,0.7905,0.8477,0.7278,0.8087,0.8942
3,Joint,7,0.0598,0.0498,0.7984,0.797,0.8,0.8051,0.8941
3,Joint,8,0.0581,0.0489,0.7931,0.7919,0.7944,0.8,0.8955
3,Joint,9,0.0519,0.0486,0.7984,0.8832,0.7056,0.8208,0.8931
3,Joint,10,0.0593,0.0482,0.7878,0.8731,0.6944,0.8113,0.8952
3,Joint,11,0.0522,0.0479,0.7931,0.8985,0.6778,0.8194,0.8964
3,Joint,12,0.0523,0.048,0.8011,0.868,0.7278,0.8201,0.8953
3,Joint,13,0.0474,0.0471,0.7958,0.8782,0.7056,0.818,0.8986
3,Joint,14,0.0557,0.0469,0.7905,0.8629,0.7111,0.8115,0.9022
3,Joint,15,0.0472,0.0472,0.7931,0.8731,0.7056,0.8152,0.9003
3,Joint,16,0.0524,0.0474,0.7984,0.868,0.7222,0.8182,0.8997
3,Joint,17,0.0553,0.0485,0.7772,0.8934,0.65,0.8073,0.8931
3,Joint,18,0.0461,0.0484,0.8011,0.8528,0.7444,0.8175,0.8921
3,Joint,19,0.0488,0.0474,0.8037,0.8376,0.7667,0.8168,0.8954
3,Joint,20,0.0588,0.048,0.7931,0.8477,0.7333,0.8107,0.8924
3,Joint,21,0.0478,0.0479,0.7931,0.8376,0.7444,0.8088,0.8945
3,Joint,22,0.0569,0.0479,0.7958,0.8325,0.7556,0.8099,0.8956
3,Joint,23,0.0518,0.0488,0.7851,0.8071,0.7611,0.797,0.8924
3,Joint,24,0.0551,0.0494,0.8011,0.8782,0.7167,0.8219,0.8895
3,Joint,25,0.0538,0.0479,0.7984,0.8579,0.7333,0.8164,0.8928
3,Joint,26,0.0402,0.0471,0.7931,0.8629,0.7167,0.8134,0.8946
3,Joint,27,0.041,0.047,0.7931,0.8325,0.75,0.8079,0.8943
3,Joint,28,0.0359,0.0472,0.7984,0.8832,0.7056,0.8208,0.8933
3,Joint,29,0.036,0.0468,0.7878,0.8629,0.7056,0.8095,0.8946
3,Joint,30,0.0358,0.0464,0.7931,0.8376,0.7444,0.8088,0.8959
4,Warmup,1,0.0552,0.0668,0.7586,0.934,0.5667,0.8017,0.8407
4,Warmup,2,0.0498,0.055,0.7772,0.9036,0.6389,0.8091,0.8811
4,Warmup,3,0.0465,0.0509,0.7851,0.9543,0.6,0.8228,0.8929
4,Warmup,4,0.0418,0.0475,0.8196,0.8579,0.7778,0.8325,0.9056
4,Warmup,5,0.0414,0.0454,0.8196,0.8426,0.7944,0.83,0.9107
4,Joint,1,0.059,0.0452,0.8143,0.9239,0.6944,0.8387,0.9123
4,Joint,2,0.0534,0.0442,0.8276,0.8934,0.7556,0.8441,0.9181
4,Joint,3,0.0518,0.0452,0.8302,0.8223,0.8389,0.8351,0.916
4,Joint,4,0.0578,0.0445,0.8329,0.9036,0.7556,0.8496,0.9169
4,Joint,5,0.0507,0.0445,0.8276,0.8782,0.7722,0.8418,0.9169
4,Joint,6,0.0527,0.0442,0.8276,0.8477,0.8056,0.8371,0.915
4,Joint,7,0.051,0.0441,0.8249,0.8629,0.7833,0.8374,0.9153
4,Joint,8,0.0422,0.0432,0.8143,0.8629,0.7611,0.8293,0.9165
4,Joint,9,0.069,0.045,0.8302,0.8376,0.8222,0.8376,0.9143
4,Joint,10,0.047,0.0464,0.8302,0.8782,0.7778,0.8439,0.9101
4,Joint,11,0.0527,0.0441,0.8329,0.8426,0.8222,0.8405,0.9161
4,Joint,12,0.0519,0.0438,0.8196,0.8883,0.7444,0.8373,0.9155
4,Joint,13,0.054,0.0461,0.8143,0.8832,0.7389,0.8325,0.9095
4,Joint,14,0.0452,0.0446,0.8329,0.8832,0.7778,0.8467,0.9159
4,Joint,15,0.0495,0.0441,0.8382,0.8782,0.7944,0.8501,0.9175
4,Joint,16,0.0504,0.0451,0.8249,0.8528,0.7944,0.8358,0.9138
4,Joint,17,0.0534,0.0455,0.817,0.802,0.8333,0.8208,0.9118
4,Joint,18,0.0573,0.0446,0.8276,0.8477,0.8056,0.8371,0.9143
4,Joint,19,0.0521,0.0458,0.8355,0.8426,0.8278,0.8426,0.9164
4,Joint,20,0.0555,0.0457,0.8329,0.8426,0.8222,0.8405,0.9145
4,Joint,21,0.0532,0.046,0.8302,0.868,0.7889,0.8424,0.913
4,Joint,22,0.051,0.0445,0.8249,0.8629,0.7833,0.8374,0.9106
4,Joint,23,0.0511,0.0454,0.817,0.8426,0.7889,0.8279,0.9111
4,Joint,24,0.0522,0.0449,0.8355,0.8376,0.8333,0.8418,0.9138
4,Joint,25,0.0539,0.0471,0.8329,0.8274,0.8389,0.838,0.9127
4,Joint,26,0.0401,0.0448,0.8276,0.8325,0.8222,0.8346,0.912
4,Joint,27,0.0375,0.0445,0.8302,0.8426,0.8167,0.8384,0.9131
4,Joint,28,0.0385,0.0446,0.8276,0.8579,0.7944,0.8387,0.9131
4,Joint,29,0.0355,0.0442,0.8223,0.8985,0.7389,0.8409,0.9118
4,Joint,30,0.0356,0.0449,0.8196,0.868,0.7667,0.8341,0.9095
5,Warmup,1,0.0557,0.0624,0.7772,0.8629,0.6833,0.8019,0.8658
5,Warmup,2,0.0467,0.0528,0.8117,0.9492,0.6611,0.8404,0.909
5,Warmup,3,0.044,0.0503,0.8329,0.9137,0.7444,0.8511,0.9034
5,Warmup,4,0.0408,0.0463,0.8408,0.9036,0.7722,0.8558,0.9078
5,Warmup,5,0.0444,0.0449,0.8329,0.8832,0.7778,0.8467,0.906
5,Joint,1,0.0598,0.0483,0.7931,0.7868,0.8,0.799,0.8981
