Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
3,Warmup,4,0.6506,0.6581,0.6548,0.7396,0.5743,0.6762,0.6889
3,Warmup,5,0.6338,0.6534,0.6396,0.7292,0.5545,0.6635,0.695
3,Joint,1,0.6441,0.6538,0.6396,0.7292,0.5545,0.6635,0.7014
3,Joint,2,0.6249,0.6565,0.6447,0.75,0.5446,0.6729,0.7059
3,Joint,3,0.6206,0.6567,0.665,0.7604,0.5743,0.6887,0.7088
3,Joint,4,0.6179,0.6551,0.665,0.7604,0.5743,0.6887,0.7048
3,Joint,5,0.603,0.658,0.665,0.7812,0.5545,0.6944,0.6988
3,Joint,6,0.5976,0.6603,0.6447,0.7604,0.5347,0.6759,0.6938
3,Joint,7,0.5835,0.6607,0.665,0.8021,0.5347,0.7,0.7014
3,Joint,8,0.5807,0.667,0.665,0.7708,0.5644,0.6916,0.6975
3,Joint,9,0.5894,0.6776,0.665,0.7708,0.5644,0.6916,0.6973
3,Joint,10,0.5699,0.6829,0.665,0.7708,0.5644,0.6916,0.696
3,Joint,11,0.5507,0.6781,0.6447,0.75,0.5446,0.6729,0.7001
3,Joint,12,0.5489,0.6709,0.6497,0.7604,0.5446,0.6791,0.7
3,Joint,13,0.5306,0.6781,0.6548,0.75,0.5644,0.6792,0.6916
3,Joint,14,0.5376,0.6761,0.6497,0.75,0.5545,0.6761,0.6901
3,Joint,15,0.5245,0.6758,0.6345,0.7292,0.5446,0.6604,0.6952
3,Joint,16,0.5188,0.6806,0.6497,0.7396,0.5644,0.673,0.6963
3,Joint,17,0.5142,0.6862,0.6447,0.7292,0.5644,0.6667,0.6934
3,Joint,18,0.5006,0.6857,0.6497,0.75,0.5545,0.6761,0.6938
3,Joint,19,0.4989,0.6897,0.6396,0.7292,0.5545,0.6635,0.6877
3,Joint,20,0.4958,0.6898,0.6396,0.7396,0.5446,0.6667,0.6855
3,Joint,21,0.4907,0.6999,0.6244,0.6979,0.5545,0.6442,0.6751
3,Joint,22,0.4673,0.7148,0.6244,0.7083,0.5446,0.6476,0.678
3,Joint,23,0.4732,0.7224,0.6447,0.7396,0.5545,0.6698,0.6771
3,Joint,24,0.4447,0.7367,0.6244,0.7188,0.5347,0.6509,0.6715
3,Joint,25,0.4656,0.7435,0.6294,0.7083,0.5545,0.6507,0.671
3,Joint,26,0.4418,0.7474,0.6193,0.6979,0.5446,0.6411,0.6709
3,Joint,27,0.4235,0.7661,0.5888,0.6771,0.505,0.6161,0.6583
3,Joint,28,0.4228,0.7762,0.5888,0.6667,0.5149,0.6124,0.6574
3,Joint,29,0.4057,0.7715,0.6142,0.6875,0.5446,0.6346,0.6633
3,Joint,30,0.4415,0.7743,0.5787,0.6562,0.505,0.6029,0.6596
4,Warmup,1,0.721,0.7085,0.5635,0.4583,0.6634,0.5057,0.584
4,Warmup,2,0.6758,0.6984,0.5584,0.5312,0.5842,0.5397,0.6115
4,Warmup,3,0.6489,0.6949,0.5584,0.5417,0.5743,0.5445,0.6113
4,Warmup,4,0.6563,0.6985,0.5533,0.5417,0.5644,0.5417,0.6118
4,Warmup,5,0.6343,0.7006,0.5736,0.5833,0.5644,0.5714,0.6115
4,Joint,1,0.6233,0.6902,0.5685,0.6042,0.5347,0.5771,0.618
4,Joint,2,0.6188,0.6827,0.5584,0.6146,0.505,0.5756,0.6252
4,Joint,3,0.6043,0.6833,0.5482,0.5833,0.5149,0.5572,0.6195
4,Joint,4,0.6119,0.6802,0.5533,0.6042,0.505,0.5686,0.6212
4,Joint,5,0.5919,0.6803,0.5635,0.5938,0.5347,0.57,0.6243
4,Joint,6,0.5851,0.6783,0.5787,0.625,0.5347,0.5911,0.628
4,Joint,7,0.5829,0.6775,0.5685,0.625,0.5149,0.5854,0.6264
4,Joint,8,0.565,0.674,0.5888,0.6458,0.5347,0.6049,0.6348
4,Joint,9,0.5549,0.6674,0.5736,0.6458,0.505,0.5962,0.6379
4,Joint,10,0.5528,0.67,0.5787,0.6667,0.495,0.6066,0.6383
4,Joint,11,0.5585,0.673,0.5787,0.6458,0.5149,0.599,0.6371
4,Joint,12,0.5459,0.6702,0.5787,0.6562,0.505,0.6029,0.6357
4,Joint,13,0.5278,0.6676,0.5787,0.6354,0.5248,0.5951,0.6352
