fpr,tpr,threshold
0.0,0.0,inf
0.001941747572815534,0.0,0.7826056480407715
0.001941747572815534,0.004246284501061571,0.6980218887329102
0.003883495145631068,0.004246284501061571,0.6961904168128967
0.003883495145631068,0.050955414012738856,0.6331091523170471
0.005825242718446602,0.050955414012738856,0.6311534643173218
0.005825242718446602,0.05732484076433121,0.6278528571128845
0.009708737864077669,0.05732484076433121,0.6248201131820679
0.009708737864077669,0.07430997876857749,0.6176560521125793
0.011650485436893204,0.07430997876857749,0.6172340512275696
0.011650485436893204,0.11252653927813164,0.6059048175811768
0.013592233009708738,0.11252653927813164,0.6054637432098389
0.013592233009708738,0.11889596602972399,0.6043025255203247
0.015533980582524271,0.11889596602972399,0.6042481064796448
0.015533980582524271,0.12101910828025478,0.6036667823791504
0.017475728155339806,0.12101910828025478,0.601553738117218
0.017475728155339806,0.13588110403397027,0.5984780192375183
0.019417475728155338,0.13588110403397027,0.5984459519386292
0.019417475728155338,0.14861995753715498,0.59333336353302
0.021359223300970873,0.14861995753715498,0.5929808616638184
0.021359223300970873,0.1762208067940552,0.5863469839096069
0.02330097087378641,0.1762208067940552,0.585615873336792
0.02330097087378641,0.18046709129511676,0.584244430065155
0.027184466019417475,0.18046709129511676,0.5840638279914856
0.027184466019417475,0.18895966029723993,0.5831838846206665
0.02912621359223301,0.18895966029723993,0.5828863382339478
0.02912621359223301,0.1910828025477707,0.5818149447441101
0.031067961165048542,0.1910828025477707,0.5816195607185364
0.031067961165048542,0.19532908704883228,0.5803324580192566
0.03300970873786408,0.19532908704883228,0.5798901915550232
0.03300970873786408,0.19745222929936307,0.5795952677726746
0.036893203883495145,0.19745222929936307,0.5794631242752075
0.036893203883495145,0.208067940552017,0.5778093934059143
0.040776699029126215,0.208067940552017,0.576399564743042
0.040776699029126215,0.21231422505307856,0.5761020183563232
0.04271844660194175,0.21231422505307856,0.5755585432052612
0.04271844660194175,0.23779193205944799,0.5716122388839722
0.04466019417475728,0.23779193205944799,0.5713359117507935
0.04466019417475728,0.24628450106157113,0.5696240067481995
0.04660194174757282,0.24628450106157113,0.5695780515670776
0.04660194174757282,0.2505307855626327,0.5690056681632996
0.04854368932038835,0.2505307855626327,0.5685952305793762
0.04854368932038835,0.25477707006369427,0.5680782794952393
0.05048543689320388,0.25477707006369427,0.5679025650024414
0.05048543689320388,0.267515923566879,0.5648480653762817
0.05631067961165048,0.267515923566879,0.5635230541229248
0.05631067961165048,0.27176220806794055,0.5624963641166687
0.06407766990291262,0.27176220806794055,0.5613307952880859
0.06407766990291262,0.2951167728237792,0.5592399835586548
0.06601941747572816,0.2951167728237792,0.5592000484466553
0.06601941747572816,0.29723991507430997,0.5586519241333008
0.06990291262135923,0.29723991507430997,0.5579184293746948
0.06990291262135923,0.3036093418259023,0.5574588775634766
0.07184466019417475,0.3036093418259023,0.5573604106903076
0.07184466019417475,0.3078556263269639,0.557278573513031
0.07378640776699029,0.3078556263269639,0.557209849357605
0.07378640776699029,0.31634819532908703,0.5560051202774048
0.07572815533980583,0.31634819532908703,0.5555097460746765
0.07572815533980583,0.3184713375796178,0.5554020404815674
0.07961165048543689,0.3184713375796178,0.5546975135803223
0.07961165048543689,0.3227176220806794,0.5541781783103943
0.08155339805825243,0.3227176220806794,0.5538766384124756
0.08155339805825243,0.32908704883227174,0.5530291795730591
0.08349514563106795,0.32908704883227174,0.5521031022071838
0.08349514563106795,0.3333333333333333,0.5517204403877258
0.0854368932038835,0.3333333333333333,0.5512605309486389
0.0854368932038835,0.3354564755838641,0.5510830879211426
0.08737864077669903,0.3354564755838641,0.5508087873458862
0.08737864077669903,0.3375796178343949,0.5506584048271179
0.08932038834951456,0.3375796178343949,0.550534188747406
0.08932038834951456,0.34394904458598724,0.549848198890686
0.0912621359223301,0.34394904458598724,0.5494541525840759
0.0912621359223301,0.3481953290870488,0.548966109752655
0.0970873786407767,0.3481953290870488,0.5485591292381287
0.0970873786407767,0.35668789808917195,0.5476899147033691
0.09902912621359224,0.35668789808917195,0.5473501086235046
0.09902912621359224,0.35881104033970274,0.5473219156265259
0.10485436893203884,0.35881104033970274,0.5464479923248291
0.10485436893203884,0.3630573248407643,0.5459536910057068
0.10679611650485436,0.3630573248407643,0.5452395677566528
0.10679611650485436,0.3651804670912951,0.5452390909194946
0.11067961165048544,0.3651804670912951,0.5449670553207397
0.11067961165048544,0.38004246284501064,0.5437720417976379
0.11262135922330097,0.38004246284501064,0.5434912443161011
0.11262135922330097,0.386411889596603,0.5426302552223206
0.1145631067961165,0.386411889596603,0.5422058701515198
