Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
2,Joint,25,0.0677,0.948,0.7347,0.8223,0.6389,0.7642,0.8329
2,Joint,26,0.0773,1.3343,0.7215,0.8173,0.6167,0.7541,0.8309
2,Joint,27,0.0868,0.9895,0.7347,0.7614,0.7056,0.75,0.8225
2,Joint,28,0.0566,1.0024,0.7241,0.731,0.7167,0.7347,0.8327
2,Joint,29,0.0656,1.0406,0.7401,0.7411,0.7389,0.7487,0.8236
2,Joint,30,0.0964,1.1655,0.7294,0.8122,0.6389,0.7583,0.818
3,Warmup,1,0.6617,0.6612,0.5225,1.0,0.0,0.6864,0.6429
3,Warmup,2,0.6586,0.6579,0.5225,1.0,0.0,0.6864,0.6872
3,Warmup,3,0.6546,0.6542,0.5729,0.9949,0.1111,0.7089,0.7039
3,Warmup,4,0.6512,0.6503,0.6446,0.9086,0.3556,0.7276,0.7072
3,Warmup,5,0.6467,0.6451,0.6658,0.8325,0.4833,0.7225,0.719
3,Joint,1,0.6066,0.5157,0.7825,0.8782,0.6778,0.8084,0.8423
3,Joint,2,0.5021,0.4597,0.7798,0.8832,0.6667,0.8074,0.8472
3,Joint,3,0.4394,0.4546,0.7798,0.8731,0.6778,0.8056,0.8475
3,Joint,4,0.4125,0.4095,0.7984,0.8832,0.7056,0.8208,0.8641
3,Joint,5,0.3891,0.3969,0.8064,0.8985,0.7056,0.829,0.8807
3,Joint,6,0.3753,0.3974,0.7772,0.7716,0.7833,0.7835,0.88
3,Joint,7,0.3547,0.3797,0.7931,0.8883,0.6889,0.8178,0.8877
3,Joint,8,0.3242,0.4061,0.7666,0.7005,0.8389,0.7582,0.8771
3,Joint,9,0.3072,0.3858,0.7958,0.9391,0.6389,0.8277,0.8993
3,Joint,10,0.273,0.4169,0.7851,0.7919,0.7778,0.7939,0.8921
3,Joint,11,0.2707,0.4146,0.8037,0.7716,0.8389,0.8042,0.8894
3,Joint,12,0.2478,0.4216,0.7825,0.7817,0.7833,0.7897,0.8829
3,Joint,13,0.2053,0.4404,0.7851,0.7665,0.8056,0.7885,0.8882
3,Joint,14,0.213,0.5116,0.7692,0.7411,0.8,0.7704,0.8809
3,Joint,15,0.168,0.5465,0.7692,0.7259,0.8167,0.7668,0.8785
3,Joint,16,0.1505,0.5508,0.7772,0.7766,0.7778,0.7846,0.876
3,Joint,17,0.1414,0.5882,0.7825,0.797,0.7667,0.7929,0.8824
3,Joint,18,0.126,0.6998,0.7374,0.6548,0.8278,0.7227,0.878
3,Joint,19,0.1314,0.7162,0.7772,0.8782,0.6667,0.8047,0.8762
3,Joint,20,0.1215,0.7188,0.7878,0.8173,0.7556,0.801,0.8806
3,Joint,21,0.1181,0.927,0.7241,0.533,0.9333,0.6688,0.8791
3,Joint,22,0.1115,0.6922,0.756,0.7005,0.8167,0.75,0.8708
3,Joint,23,0.0933,0.7275,0.7719,0.7513,0.7944,0.7749,0.8765
3,Joint,24,0.0818,0.7011,0.7931,0.7868,0.8,0.799,0.888
3,Joint,25,0.064,0.8541,0.7666,0.7513,0.7833,0.7708,0.8718
3,Joint,26,0.0585,0.8239,0.7798,0.7919,0.7667,0.7899,0.8742
3,Joint,27,0.0452,0.9354,0.7931,0.8782,0.7,0.816,0.8796
3,Joint,28,0.0465,0.8465,0.8037,0.8579,0.7444,0.8204,0.8897
3,Joint,29,0.0791,0.975,0.7772,0.7716,0.7833,0.7835,0.8587
3,Joint,30,0.078,0.9837,0.7931,0.8579,0.7222,0.8125,0.8714
4,Warmup,1,0.6612,0.6602,0.5252,1.0,0.0056,0.6876,0.6569
4,Warmup,2,0.658,0.6579,0.5862,0.9645,0.1722,0.709,0.6763
4,Warmup,3,0.6561,0.6551,0.626,0.8731,0.3556,0.7093,0.6889
4,Warmup,4,0.6532,0.6521,0.6286,0.8376,0.4,0.7021,0.6986
4,Warmup,5,0.6472,0.6483,0.6552,0.7817,0.5167,0.7032,0.7114
4,Joint,1,0.6061,0.5504,0.7268,0.6751,0.7833,0.7209,0.8125
4,Joint,2,0.5051,0.4987,0.7586,0.8426,0.6667,0.7849,0.8314
4,Joint,3,0.4408,0.4372,0.7454,0.736,0.7556,0.7513,0.8539
4,Joint,4,0.4004,0.4279,0.7878,0.9036,0.6611,0.8165,0.8571
4,Joint,5,0.3857,0.4263,0.7533,0.7563,0.75,0.7621,0.8573
4,Joint,6,0.3571,0.3964,0.7905,0.8173,0.7611,0.803,0.8679
4,Joint,7,0.3306,0.4048,0.7825,0.8223,0.7389,0.798,0.8726
4,Joint,8,0.3211,0.3878,0.7719,0.7462,0.8,0.7737,0.8816
4,Joint,9,0.2949,0.4185,0.7294,0.5787,0.8944,0.6909,0.8829
4,Joint,10,0.2807,0.4606,0.809,0.8223,0.7944,0.8182,0.8869
4,Joint,11,0.2739,0.437,0.809,0.8122,0.8056,0.8163,0.8872
4,Joint,12,0.249,0.3983,0.7958,0.7716,0.8222,0.7979,0.8958
4,Joint,13,0.2273,0.4378,0.7639,0.6802,0.8556,0.7507,0.8887
4,Joint,14,0.2149,0.4364,0.817,0.8325,0.8,0.8262,0.9006
4,Joint,15,0.2152,0.4845,0.7745,0.7005,0.8556,0.7645,0.8902
4,Joint,16,0.1794,0.4525,0.8011,0.7665,0.8389,0.8011,0.901
4,Joint,17,0.1684,0.5118,0.809,0.8629,0.75,0.8252,0.896
4,Joint,18,0.1641,0.4789,0.809,0.7563,0.8667,0.8054,0.9022
4,Joint,19,0.1449,0.5357,0.7958,0.731,0.8667,0.789,0.9095
4,Joint,20,0.1109,0.5531,0.7772,0.731,0.8278,0.7742,0.8964
4,Joint,21,0.1318,0.576,0.8011,0.7919,0.8111,0.8062,0.8947
4,Joint,22,0.1167,0.6096,0.809,0.7716,0.85,0.8085,0.9049
4,Joint,23,0.1064,0.5777,0.8196,0.8223,0.8167,0.8265,0.908
4,Joint,24,0.1041,0.6253,0.7851,0.7056,0.8722,0.7744,0.8956
4,Joint,25,0.0961,0.7231,0.8011,0.7563,0.85,0.7989,0.8968
4,Joint,26,0.1093,0.7943,0.8011,0.7563,0.85,0.7989,0.8901
4,Joint,27,0.1086,0.8763,0.7878,0.6954,0.8889,0.774,0.8927
4,Joint,28,0.0995,0.7618,0.8011,0.7563,0.85,0.7989,0.897
4,Joint,29,0.0672,0.7276,0.7958,0.7614,0.8333,0.7958,0.8948
4,Joint,30,0.0601,0.7921,0.7745,0.7411,0.8111,0.7745,0.8908
5,Warmup,1,0.6601,0.6596,0.5119,0.2081,0.8444,0.3083,0.5992
5,Warmup,2,0.6554,0.6583,0.5836,0.6599,0.5,0.6235,0.6042
5,Warmup,3,0.6521,0.6568,0.6048,0.7513,0.4444,0.6652,0.618
