Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
2,Joint,25,0.0777,1.5398,0.599,0.5104,0.6832,0.5537,0.6248
2,Joint,26,0.0622,1.4499,0.5584,0.4062,0.703,0.4727,0.6306
2,Joint,27,0.0557,1.418,0.5888,0.625,0.5545,0.597,0.6208
2,Joint,28,0.0583,1.5414,0.5939,0.6771,0.5149,0.619,0.6022
2,Joint,29,0.0507,1.6868,0.5685,0.6354,0.505,0.5894,0.5961
2,Joint,30,0.06,1.6845,0.599,0.7292,0.4752,0.6393,0.6281
3,Warmup,1,0.7176,0.7119,0.5076,0.9792,0.0594,0.6596,0.5551
3,Warmup,2,0.6971,0.7101,0.5431,0.8958,0.2079,0.6565,0.5805
3,Warmup,3,0.6765,0.7073,0.5736,0.7917,0.3663,0.6441,0.5853
3,Warmup,4,0.6681,0.7044,0.6041,0.6979,0.5149,0.6321,0.5875
3,Warmup,5,0.6539,0.7016,0.599,0.6667,0.5347,0.6184,0.5831
3,Joint,1,0.6913,0.7034,0.5635,0.6562,0.4752,0.5943,0.5594
3,Joint,2,0.6083,0.685,0.5685,0.6979,0.4455,0.6119,0.6302
3,Joint,3,0.5793,0.6915,0.5888,0.6146,0.5644,0.593,0.618
3,Joint,4,0.5379,0.7074,0.5482,0.6771,0.4257,0.5936,0.601
3,Joint,5,0.4904,0.7197,0.5635,0.6875,0.4455,0.6055,0.6068
3,Joint,6,0.4666,0.7119,0.5939,0.6875,0.505,0.6226,0.6571
3,Joint,7,0.4189,0.7419,0.5736,0.6562,0.495,0.6,0.6387
3,Joint,8,0.3912,0.8028,0.5787,0.5625,0.5941,0.5654,0.6252
3,Joint,9,0.334,0.8707,0.5888,0.5625,0.6139,0.5714,0.6295
3,Joint,10,0.314,0.9462,0.6142,0.6146,0.6139,0.6082,0.6273
3,Joint,11,0.2669,0.9181,0.6142,0.6875,0.5446,0.6346,0.6446
3,Joint,12,0.2457,0.9879,0.5888,0.5625,0.6139,0.5714,0.613
3,Joint,13,0.2111,1.0656,0.6244,0.6875,0.5644,0.6408,0.6386
3,Joint,14,0.205,1.1775,0.5787,0.6667,0.495,0.6066,0.6435
3,Joint,15,0.1831,1.194,0.5736,0.5312,0.6139,0.5484,0.6128
3,Joint,16,0.1486,1.2258,0.5787,0.5833,0.5743,0.5744,0.6284
3,Joint,17,0.1389,1.2521,0.5787,0.5729,0.5842,0.5699,0.607
3,Joint,18,0.1543,1.6158,0.5635,0.7396,0.396,0.6228,0.6312
3,Joint,19,0.1335,1.4504,0.6041,0.5833,0.6238,0.5895,0.6263
3,Joint,20,0.123,1.4813,0.5635,0.4375,0.6832,0.4941,0.646
3,Joint,21,0.0981,1.4835,0.5736,0.4792,0.6634,0.5227,0.6581
3,Joint,22,0.1012,1.549,0.5787,0.4896,0.6634,0.5311,0.6399
